Product A,Product B,Product C,Product D,Product E,Product F,Product G,Product H,Product I,Product J,Product K,Product L,Product M,Product N,Product O,Product P,Product Q,Product R,Product S,Product T,Product U
262,62,0,170,0,0,0,20,428,0,129,38,22,15,0,0,0,0,0,0,0
0,0,454,404,0,86,0,0,307,242,0,271,52,46,504,0,21,0,0,0,0
0,0,0,141,258,0,0,18,0,0,30,255,85,0,368,0,9,0,0,274,0
0,0,336,0,0,0,0,38,0,0,576,600,62,0,0,0,0,0,0,0,0
0,42,0,42,0,0,0,19,302,0,0,78,66,0,14,0,0,0,0,555,0
0,24,545,2355,108,0,0,657,159,79,0,275,56,18,0,0,0,0,0,0,0
0,18,0,551,0,24,0,39,0,918,0,40,112,0,551,0,15,65,11,349,0
34,0,971,0,0,0,0,0,0,0,0,1703,444,6,373,0,0,0,0,0,0
0,0,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,198,42,0,544,618,0,201,22,19,28,0,124,0,43,376,0
949,0,45,858,0,0,63,0,67,314,0,91,104,461,17,0,0,269,0,582,0
90,0,0,14999,0,212,292,533,0,0,0,480,201,220,151,0,19,0,0,0,0
0,0,151,633,0,0,0,0,845,378,0,235,0,0,-49,0,168,0,32,0,0
1290,0,185,42,0,151,0,196,0,0,0,35,0,0,0,0,0,8,21,0,0
0,0,53,60,0,0,0,56,365,0,348,519,17,0,32,0,0,0,0,0,0
297,449,1141,0,0,75,32,201,824,0,0,0,29,250,0,0,0,0,426,0,0
146,0,20,135,0,0,0,0,0,94,0,124,105,12,82,0,0,0,0,0,0
0,96,0,0,0,59,18,48,0,0,0,579,82,0,191,0,0,0,0,0,0
0,0,0,729,0,300,0,171,916,0,0,172,71,0,240,0,0,0,282,0,0
885,0,0,170,0,2805,0,0,0,662,0,47,0,52,0,0,186,0,0,0,0
0,269,199,0,74,103,201,0,715,639,46,0,369,281,520,227,42,620,0,1845,133
316,0,1283,0,0,0,0,0,0,955,0,140,95,0,28,0,0,0,0,0,0
473,0,177,113,0,1907,0,0,0,57,0,94,116,0,1091,0,0,0,0,0,0
0,31,356,0,0,650,0,374,605,32,0,216,81,0,216,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,311,460,0,203,0,0,0,0,0,2558
0,30,0,0,0,0,0,38,0,0,0,29,0,0,79,0,0,0,0,2470,0
0,0,431,0,0,52,0,62,534,94,0,96,57,154,523,0,9,0,0,4791,0
0,0,3112,0,0,621,0,0,0,155,0,222,0,20,71,0,0,0,0,0,0
0,0,267,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0
0,0,2276,0,0,373,0,48,0,0,0,31,0,0,10,0,0,46,0,5500,0
0,0,184,42,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,4289,0
0,0,206,226,0,0,0,0,286,0,0,26,23,0,261,0,0,0,0,0,0
0,0,0,0,0,0,26,0,0,0,0,0,58,146,115,0,0,2930,327,0,0
0,12,37,42,0,0,9,0,0,31,0,0,0,0,0,0,127,0,0,1976,0
0,0,182,0,221,580,43,1125,0,515,0,63,51,0,296,0,0,1642,357,312,0
22,0,428,0,0,106,0,19,0,245,0,0,0,0,151,0,0,0,0,0,0
4795,0,2275,635,0,180,0,522,301,645,0,31,947,20,83,0,0,0,0,0,279
862,0,538,0,0,169,0,87,0,0,0,122,138,117,188,0,90,0,0,199,0
0,0,28,0,0,44,0,31,0,193,0,0,0,34,8,0,45,0,0,3524,0
0,19,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,0,1393,0
389,18,0,1025,0,33,115,18,0,142,0,111,0,0,88,389,46,0,79,0,0
293,0,0,0,0,0,0,144,541,0,0,24,0,0,31,0,0,0,0,0,0
1498,0,0,0,0,0,0,0,390,0,48,0,0,0,0,0,0,0,0,0,266
0,0,1433,266,0,0,6353,0,0,63,0,388,0,0,41,0,375,0,0,0,0
17,60,223,200,0,0,0,0,0,16,0,0,10,360,110,0,0,0,0,3739,0
87,0,525,90,0,45,0,59,0,47,0,246,155,279,18,0,0,0,0,151,0
826,0,584,440,0,651,0,76,367,306,0,180,65,0,552,0,32,0,0,0,0
0,0,620,0,0,0,0,79,0,0,104,149,0,0,0,0,0,0,0,0,0
71,37,140,0,0,170,1144,29,19,15,103,810,27,0,209,0,0,0,267,11088,0
0,62,0,520,0,0,0,0,0,0,0,152,143,9,47,0,55,0,0,0,0
0,0,560,0,12,0,0,262,0,0,0,46,0,0,0,0,0,0,0,0,0
0,0,406,30,0,0,0,0,66,0,269,0,33,0,115,0,0,0,0,0,0
0,0,0,120,0,0,0,0,0,126,0,0,127,20,0,0,0,0,0,750,0
0,0,45,0,0,82,0,0,177,0,0,0,9,0,39,0,88,662,0,137,0
0,0,0,0,0,0,0,0,0,0,431,112,0,0,10,0,0,0,0,0,0
32,0,358,4538,0,0,56,19,302,749,11,385,976,-4,1475,0,681,0,461,0,0
0,0,165,0,0,0,0,96,0,0,0,120,22,78,120,0,0,0,0,0,0
1814,361,450,452,0,1512,0,234,589,0,100,0,86,0,73,0,0,0,867,0,0
0,0,0,0,0,0,0,0,318,0,0,0,0,380,0,0,0,0,0,0,0
1171,0,392,0,0,200,1172,0,0,0,0,4,11,0,293,0,0,0,0,0,0
0,0,169,30,15,48,0,0,0,0,0,300,171,0,150,0,89,0,0,0,0
0,18,764,1322,0,24,0,0,0,0,0,35,167,282,518,0,0,0,1206,0,0
0,0,262,160,0,0,1711,0,2637,47,0,0,208,0,0,0,15,1315,0,130,0
0,0,783,1908,0,13,0,1435,494,672,0,694,11,61,127,0,0,0,0,19631,0
0,0,586,678,0,278,0,0,0,0,45,188,37,0,0,0,230,0,0,0,0
0,143,188,0,0,192,0,0,0,0,344,125,133,702,0,0,16,0,546,0,0
0,0,38,0,0,0,0,258,0,1417,0,115,62,0,60,0,0,0,0,0,0
0,0,0,0,0,502,6,0,0,0,0,155,116,75,0,108,0,347,0,0,0
0,0,299,127,0,0,0,0,0,0,0,121,43,0,82,0,152,0,0,69,0
31,650,92,0,0,148,0,0,422,47,0,17,6,0,79,0,0,0,97,0,0
0,65,55,0,0,0,0,18,0,0,0,0,20,32,0,0,0,0,0,470,0
0,0,148,170,0,0,0,50,0,40,0,0,67,10,9,0,0,224,11,0,0
260,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1527,0
0,0,607,3841,0,0,0,0,0,0,0,77,40,0,54,0,25,0,0,686,0
0,0,248,316,0,178,11,94,0,16,0,250,214,923,0,0,0,0,0,1393,0
0,26,0,0,0,789,0,0,211,0,0,44,16,16,0,0,0,0,65,0,0
0,0,0,180,0,0,0,0,0,104,0,26,35,0,0,0,0,0,0,0,262
0,0,351,0,0,0,0,0,421,0,0,0,0,0,86,0,0,511,133,3531,0
