Record IDs,Factor 1,Factor 2,Factor 3,Cluster
1,-0.115808325,-0.111441939,0.287285676,1
2,0.03288162,-0.036529584,0.181852381,1
3,-0.168178629,-0.406660175,-0.233321488,1
4,-0.06291777,0.524089808,0.710966784,1
5,-0.133235848,-0.168085802,0.320582321,1
6,0.25923484,0.877440505,1.002894323,1
7,0.115451513,-0.39345942,0.099399957,1
8,-0.003332148,1.63165184,0.793387937,1
9,0.083384631,-0.418192284,0.421099829,1
10,0.015888396,0.093144392,0.302782616,1
11,0.200703173,-0.26581763,-0.032276756,1
12,1.87210603,0.72517438,1.26934866,1
13,0.057978692,0.259478126,0.375074831,1
14,0.039558798,0.056493249,0.435556777,1
15,-0.112758679,0.491015398,0.62192165,1
16,-0.321871294,0.536523095,-0.443887555,1
17,-0.03738928,-0.307048826,0.331895603,1
18,-0.138685079,0.332629157,0.410483327,1
19,-0.170739378,0.378315824,0.151075784,1
20,0.2816998,0.063377694,0.228605345,1
21,-0.198320504,-0.006039498,-0.984658757,1
22,0.292073791,-0.233165239,0.475881561,1
23,-0.022821365,-0.170320666,-0.252852073,1
24,-0.095701525,0.744484474,0.653154644,1
25,0.854833113,-0.428646946,0.149539626,1
26,-0.12415934,-0.250488892,0.305676179,1
27,-0.123536473,0.200877633,0.038322707,1
28,0.374536659,-0.012900997,0.573891409,1
29,-0.055843353,-0.487936043,0.227733669,1
30,0.156126568,0.069144362,0.461141478,1
31,-0.118691852,-0.288816145,0.185677003,1
32,-0.065684812,-0.340900594,0.219321917,1
33,-0.362369862,-0.798661357,-1.370477724,1
34,-0.054927691,-0.26485761,0.274589672,1
35,-0.239380283,1.096400143,-0.060403592,1
36,0.025996033,-0.4393406,0.326929616,1
37,0.721385414,1.465369572,0.407289769,1
38,0.071807113,0.0604383,0.225695481,1
39,-0.055983893,-0.220465706,0.325197826,1
40,-0.097849914,-0.405964052,0.304401799,1
41,0.076179956,-0.320572499,0.039541929,1
42,-0.10769983,0.038550308,0.4358048,1
43,0.085151655,-0.1705853,0.176388095,1
44,-0.000457278,0.966522791,-1.232800399,2
45,-0.040113694,-0.279510563,0.047081256,1
46,0.054022412,-0.032762294,0.374868374,1
47,0.121129942,0.181367481,0.143042752,1
48,0.003263576,-0.109723059,0.542023735,1
49,-0.349896989,1.24765574,-0.115022185,1
50,-0.039755877,-0.197715994,0.293405971,1
51,-0.001261872,0.020971635,0.654330276,1
52,-0.049763165,-0.329257777,0.340527286,1
53,-0.05062923,-0.418426044,0.327949057,1
54,-0.108825204,-0.384493008,0.001934294,1
55,-0.096094699,-0.191773317,0.447432992,1
56,0.499560082,0.800409514,-0.958991544,1
57,-0.046115215,-0.186927115,0.405402389,1
58,-0.336900518,0.752340999,-0.822551972,1
59,-0.038291761,-0.382591753,0.160151811,1
60,-0.009196189,-0.203197283,-0.204153177,1
61,-0.052772769,-0.023668108,0.309455119,1
62,-0.198446633,-0.488646119,-1.1764883,1
63,-0.4494729,0.734042871,-0.834715638,1
64,0.127972013,3.872732299,1.947697263,1
65,0.152131538,0.004934939,0.391449494,1
66,-0.198296089,-0.121872623,-0.565656341,1
67,0.209324773,0.026156711,0.712807276,1
68,-0.079599037,-0.283893741,0.156864538,1
69,0.011299264,-0.18789626,0.310432983,1
70,-0.471277712,0.109497644,-0.454035194,1
71,-0.101968887,-0.386741465,0.286748778,1
72,-0.047156618,-0.404397415,0.294603089,1
73,-0.034295308,-0.359926771,0.326601036,1
74,0.488337741,-0.384502859,0.486508079,1
75,0.129768845,0.050310328,0.102642588,1
76,-0.101695667,-0.259065745,0.255900461,1
77,0.069781423,-0.499012321,0.354458337,1
78,-0.196500689,-0.175238555,-0.0846999,1
79,-0.100067689,-0.421745888,0.223190041,1
80,0.080979381,-0.182736795,-0.009986662,1
81,-0.356029684,-0.198391744,-0.862734478,1
82,-0.0082116,-0.248979188,0.411212584,1
83,-0.072393748,0.302624072,0.320653799,1
84,-0.007651111,-0.480398178,0.302042817,1
85,-0.038538407,-0.355769187,0.328700813,1
86,-0.719741746,-0.137563866,-3.111503214,2
87,-0.152604852,-0.129872524,0.192184428,1
88,-0.028357148,-0.208144799,0.427516628,1
89,0.046758472,-0.326409207,0.117179674,1
90,-0.08184806,3.995638152,2.950394857,1
91,-0.062413657,-0.242981094,0.352981424,1
92,0.225083896,0.266573407,0.79616372,1
93,-0.139103064,0.827455411,-1.780508557,2
94,0.00089224,-0.309556539,0.350173373,1
95,-0.420537851,0.531924129,-0.748247289,1
96,-0.083090436,-0.445030012,0.341000834,1
97,-0.191467549,-0.351766113,-0.168026758,1
98,0.016052655,-0.52431201,0.119467294,1
99,0.016787208,0.127798679,-0.070464254,1
100,-0.080218568,-0.021682586,0.299651197,1
101,0.059980773,0.309071181,0.152677724,1
102,-0.048570982,-0.422542855,0.052788731,1
